Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:30:46)
Fra:14 Mem:81.18M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Area
Fra:14 Mem:81.18M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sun
Fra:14 Mem:81.18M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay
Fra:14 Mem:81.18M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.002
Fra:14 Mem:81.30M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion
Fra:14 Mem:81.30M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.002
Fra:14 Mem:81.30M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.003
Fra:14 Mem:81.31M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.004
Fra:14 Mem:81.31M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.005
Fra:14 Mem:81.32M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.006
Fra:14 Mem:81.32M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion
Fra:14 Mem:81.33M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.001
Fra:14 Mem:81.33M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Primary rib
Fra:14 Mem:81.34M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Curved eave panel
Fra:14 Mem:81.34M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eave silver edge
Fra:14 Mem:81.34M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Stone terrace
Fra:14 Mem:81.36M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.003
Fra:14 Mem:81.38M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.004
Fra:14 Mem:81.40M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.005
Fra:14 Mem:81.41M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.007
Fra:14 Mem:81.42M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.008
Fra:14 Mem:81.41M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.009
Fra:14 Mem:81.42M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.010
Fra:14 Mem:81.42M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.011
Fra:14 Mem:81.43M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.012
Fra:14 Mem:81.43M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.013
